addr,coin
0x04df9ea13620ee918387c6e0ccf2b936da7cc178,98
0x0595d933564b49e514b317e2ba9709d664eedc40,98
0x16681c61300d4dc85c582ff02ef743ae82944d8c,98
0x179e5d0970efc21addacc1c70f5001a6bf5e7696,98
0x18861bcb91968dc31f413cced885ee20accd32bf,98
0x1b5530d0aa4872b5c89e5f9547b735f5fe21bd13,98
0x21e70fee23868b5c84e3cfa093990ccc1eb5d02f,98
0x2fbab31525442216725c35f3aa2ea72ceaae053f,98
0x2fc6c1333ac651a6ea4a9161f726c55602f9b93b,98
0x30cea0a0bee3191ebd6df5942a98458c41ff2ee9,98
0x2f5120c6f421be045071ab870d257880c463b48b,98
0x4bd540c9a7b081a19939924e573ddfd848b9e6ab,98
0x4bc994c6622f3841fc4e0d4c2a3eae0fa4338c63,98
0x4c91e55bc07dadcd9e1b87b448834b7bad33d60a,98
0x5f88f92cb8bfc895c461e80676bed5eef3fab086,98
0x60b8f90863753fe7c2b8f55fe3f2c2ef7096058c,98
0x6b823f15150f9ae0bc987184c4888a96873e6b59,98
0x761b8adf2c1add232f872cc711bf05146011ea35,98
0x76967322893cef3e8efa713daf1dc8347e081083,98
0x6f2450f4f6684d93d87449a72ada31cb256817b3,98
0x7bfe6a1868139ead135ef90258b835e7b5a25c4c,98
0x83b29f4d3cb6424cd651a87f61a21f04cbd65ec2,98
0x87984264fc5b27254367553c93314b763c991382,98
0xa136d3f79ec445d749d3905702cac790c79046e1,98
0x0ae035b5eff07d5f2bc1415d0341083820349b3a,95
0x113a48843ff3778922bdad7cbf579a800425d230,95
0x0fe154b160617ef5580a95a1954cc70eb1cdf01c,95
0x1756c74a5b8a6fef91de212b219016a2438ed13d,95
0x13aa546e4ebea3a328f5ab867600156a17eef5ec,95
0x0dbae54a5011a235993c7fff780c42f84cb3601b,95
0x224aa6a88289584eb8fa072e97460d59d1c39315,95
0x0eb2dd1b735ad733eb5c0f553ad65c5cc2a04263,95
0x1f5d95738be888382590a455e34b03bd63cc8bcf,95
0x1e1109d72ff20382d0fac81c70529ec93eeac1c7,95
0x1d284616f4f6d1f35c0f6db11252529077ade937,95
0x0bbd45e17aa1f696915480863e69c82375b55239,95
0x35ef6d1c9e171364baa6144603cbca34b696949f,95
0x2b206e404d35dee202fdcce52d15dbb1b3a84b09,95
0x25d7264816fefb7d0d08d2b00ddd19033f8770e8,95
0x115b851cfac797d58e2bf9b39a20d30b4ff7bd30,95
0x14f6f2681806c384b4ea64c98b46cdce1b50b767,95
0x18ee6195fc84dc3835d68a83a221ca95472d11d7,95
0x10859dba173629d9f34ef7cb1a069db2dcad9899,95
0x1ec94d1d02db54682418440907e940ae1c686c61,95
0x3d74b74f4236094c4f0fc426396d4aa6f66da815,95
0x242c183c94c18f7f7ad4a049ccb92d68b63694e8,95
0x492c3ca1e261ac059201421f53f9bc04065a7d1b,95
0x3380a7a9ffe0f2574c8c08755a7e10d1d610fb20,95
0x39ce8b6a31486a336da8101ce63d77ebda892616,95
0x520d3afa886398fb8fb940162f5258bd5e93d529,95
0x47e5eda8bd78130ddcffc1923b467634ae1b77eb,95
0x2ce1dbc904872c8ce25a91e0957140adb365858b,95
0x1d3c45460e1a34f6c5f75b24cc865458cfea68f9,95
0x201d52f601166a81401e8337727f2344dd3fc3f6,95
0x4d7a88985044c2aa08c8418c9f40be2ac762c2a6,95
0x07ce440da6588b9d192357f3ec768d4b795e833b,95
0x261c9ac2a76404ba31be4ad02ef750bf4b35d8a9,95
0x3643b34140df8b03c4538cb51d0a15e6aedd6c81,95
0x5a64e84262b274222a12f67e24b3ebf544f6c6a2,95
0x34fe64067157b62109730532d0859f5afcea7693,95
0x45ef745b9d5df222dc27cf42a6f31f5e6a6ffc49,95
0x3c55c657d51dee5fd43575e4e1bcc6ebc629c922,95
0x12f9add475e006cba4e1ecdc75d52098cd053a7e,95
0x0f1474c914adaf23150fd46ff613e1dff867ae51,95
0x58a9078554a868ae8573b9e21c009758b0e4a7c1,95
0x4865521577425c07f1ee457ee227b7fb73a36d12,95
0x51112242f12f2a87d2a1636269b452a2b3184cc1,95
0x53508beed8d518cb245dd11ea340f679baee2d28,95
0x5b802607d212eb18cebf889d110035777c4afad5,95
0x4ba09a409051e8e60a9f294198af0558c2ea9ea1,95
0x250f4fb017c1db02e9f0af5e1329601f95734d9d,95
0x5a23f82e68a1c66b3aeb4bc89b433c543197b482,95
0x1ef6d26beb66e51ccae46abee0874257c2518965,95
0x38cc85af4e4c8c93b8876fe5799374a757283fcc,95
0x194961c0848f56099eeb316d70009700446948fb,95
0x4683dc7e8b519c1a9beb5ee9fb8bf7aed9d6d45d,95
0x4d22fe4ee0579e78369a47e148fc49a8116a9958,95
0x644bacba3c99b7882dcff8f8f11784cb574de417,95
0x5743e50531a96a8b4543a4bfda15635a1c1a19af,95
0x3360976b781048e84a9a41f90787a1c0ea8fa442,95
0x68974ad2848c253c96fd735a714768884b99e827,95
0x67207dc4af1a8deb91d885cd6d7f362418e25a28,95
0x5dabcba6c355377fbef1a26dbc2ef2de0dad87ef,95
0x65e3c572134c50c156e427c21dca7efcfb452a74,95
0x60d23c478b02bb622aa4d12b35d0e5c648ffe27c,95
0x70c6ea026a0d0236daf2a6b034a267d19a50d66a,95
0x6704853be059cc0a345c917634fa9a16ce28614b,95
0x775199e3b6b0bbb413c2161b5d5cbd633e5a05c9,95
0x776178cd753e86d71d45d0f6ed01ad192e0c7d8f,95
0x688d90333573c5eae096c35127090179122c529e,95
0x7c8b510cd5cee3a70488610263a99d919c1a181d,95
0x7011310df6a5fa58d13754afe8abb8ef236954e5,95
0x7cc0ee8d2d150d5e2555b5b939bb16c1ba11d34c,95
0x7cdc518bdb997a9bde440140e296e11ee881dbd1,95
0x5b919dba8a4a673f3f27ca83426e3c26bb0d727f,95
0x86ace52b70f002a153b55d26b19ddbf770520f24,95
0x8ed4532cb2bb4b832096910bbc1db90175113004,95
0x7b04d44fa6da434bf2ef069836917add96c8a56f,95
0x8bac85953574753a58d3c34287cdf096caa3fbbf,95
0x65e5cd8a42e46c78c55d456119f1e7d572329352,95
0x942ccb2f54826a6a8242e3bbba658645d8c02f8d,95
0x85222b43927f65d7b0169172463c4f60e9a00dfa,95
0x78720d69e832914dc848bc341e08912b0692b4f0,95
